ICD-10-WHO_Code,Description,Last_Updated
H300,Focal chorioretinal inflammation,2020-10-13
H301,Disseminated chorioretinal inflammation,2020-10-13
H302,Posterior cyclitis,2020-10-13
H308,Other chorioretinal inflammations,2020-10-13
H309,"Chorioretinal inflammation, unspecified",2020-10-13
H31,,2020-10-13
H310,Chorioretinal scars,2020-10-13
H311,Choroidal degeneration,2020-10-13
H312,Hereditary choroidal dystrophy,2020-10-13
H313,Choroidal haemorrhage and rupture,2020-10-13
H314,Choroidal detachment,2020-10-13
H318,Other specified disorders of choroid,2020-10-13
H319,"Disorder of choroid, unspecified",2020-10-13
H32,,2020-10-13
H320,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere,2020-10-13
H328,Other chorioretinal disorders in diseases classified elsewhere,2020-10-13
H33,,2020-10-13
H330,Retinal detachment with retinal break,2020-10-13
H331,Retinoschisis and retinal cysts,2020-10-13
H332,Serous retinal detachment,2020-10-13
H333,Retinal breaks without detachment,2020-10-13
H334,Traction detachment of retina,2020-10-13
H335,Other retinal detachments,2020-10-13
H34,,2020-10-13
H340,Transient retinal artery occlusion,2020-10-13
H341,Central retinal artery occlusion,2020-10-13
H342,Other retinal artery occlusions,2020-10-13
H348,Other retinal vascular occlusions,2020-10-13
H349,"Retinal vascular occlusion, unspecified",2020-10-13
H35,,2020-10-13
H350,Background retinopathy and retinal vascular changes,2020-10-13
H351,Retinopathy of prematurity,2020-10-13
H352,Other proliferative retinopathy,2020-10-13
H353,Degeneration of macula and posterior pole,2020-10-13
H354,Peripheral retinal degeneration,2020-10-13
H355,Hereditary retinal dystrophy,2020-10-13
H356,Retinal haemorrhage,2020-10-13
H357,Separation of retinal layers,2020-10-13
H358,Other specified retinal disorders,2020-10-13
H359,"Retinal disorder, unspecified",2020-10-13
H36,,2020-10-13
H360,Diabetic retinopathy,2020-10-13
H368,Other retinal disorders in diseases classified elsewhere,2020-10-13
H40,,2020-10-13
H400,Glaucoma suspect,2020-10-13
H401,Primary open-angle glaucoma,2020-10-13
H402,Primary angle-closure glaucoma,2020-10-13
H403,Glaucoma secondary to eye trauma,2020-10-13
H404,Glaucoma secondary to eye inflammation,2020-10-13
H405,Glaucoma secondary to other eye disorders,2020-10-13
H406,Glaucoma secondary to drugs,2020-10-13
H408,Other glaucoma,2020-10-13
H409,"Glaucoma, unspecified",2020-10-13
H42,,2020-10-13
H420,"Glaucoma in endocrine, nutritional and metabolic diseases",2020-10-13
H428,Glaucoma in other diseases classified elsewhere,2020-10-13
H43,,2020-10-13
H430,Vitreous prolapse,2020-10-13
H431,Vitreous haemorrhage,2020-10-13
H432,Crystalline deposits in vitreous body,2020-10-13
H433,Other vitreous opacities,2020-10-13
H438,Other disorders of vitreous body,2020-10-13
H439,"Disorder of vitreous body, unspecified",2020-10-13
H44,,2020-10-13
H440,Purulent endophthalmitis,2020-10-13
H441,Other endophthalmitis,2020-10-13
H442,Degenerative myopia,2020-10-13
H443,Other degenerative disorders of globe,2020-10-13
H444,Hypotony of eye,2020-10-13
H445,Degenerated conditions of globe,2020-10-13
H446,"Retained (old) intraocular foreign body, magnetic",2020-10-13
H447,"Retained (old) intraocular foreign body, nonmagnetic",2020-10-13
H448,Other disorders of globe,2020-10-13
H449,"Disorder of globe, unspecified",2020-10-13
H45,,2020-10-13
H450,Vitreous haemorrhage in diseases classified elsewhere,2020-10-13
H451,Endophthalmitis in diseases classified elsewhere,2020-10-13
H458,Other disorders of vitreous body and globe in diseases classified elsewhere,2020-10-13
H46,,2020-10-13
H47,,2020-10-13
H470,"Disorders of optic nerve, not elsewhere classified",2020-10-13
H471,"Papilloedema, unspecified",2020-10-13
H472,Optic atrophy,2020-10-13
H473,Other disorders of optic disc,2020-10-13
H474,Disorders of optic chiasm,2020-10-13
H475,Disorders of other visual pathways,2020-10-13
H476,Disorders of visual cortex,2020-10-13
H477,"Disorder of visual pathways, unspecified",2020-10-13
H48,,2020-10-13
H480,Optic atrophy in diseases classified elsewhere,2020-10-13
H481,Retrobulbar neuritis in diseases classified elsewhere,2020-10-13
H488,Other disorders of optic nerve and visual pathways in diseases classified elsewhere,2020-10-13
H49,,2020-10-13
H490,Third [oculomotor] nerve palsy,2020-10-13
H491,Fourth [trochlear] nerve palsy,2020-10-13
H492,Sixth [abducent] nerve palsy,2020-10-13
H493,Total (external) ophthalmoplegia,2020-10-13
H494,Progressive external ophthalmoplegia,2020-10-13
H498,Other paralytic strabismus,2020-10-13
H499,"Paralytic strabismus, unspecified",2020-10-13
H50,,2020-10-13
H500,Convergent concomitant strabismus,2020-10-13
H501,Divergent concomitant strabismus,2020-10-13
H502,Vertical strabismus,2020-10-13
H503,Intermittent heterotropia,2020-10-13
H504,Other and unspecified heterotropia,2020-10-13
H505,Heterophoria,2020-10-13
H506,Mechanical strabismus,2020-10-13
H508,Other specified strabismus,2020-10-13
H509,"Strabismus, unspecified",2020-10-13
H51,,2020-10-13
H510,Palsy of conjugate gaze,2020-10-13
H511,Convergence insufficiency and excess,2020-10-13
H512,Internuclear ophthalmoplegia,2020-10-13
H518,Other specified disorders of binocular movement,2020-10-13
H519,"Disorder of binocular movement, unspecified",2020-10-13
H52,,2020-10-13
H520,Hypermetropia,2020-10-13
H521,Myopia,2020-10-13
H522,Astigmatism,2020-10-13
H523,Anisometropia and aniseikonia,2020-10-13
H524,Presbyopia,2020-10-13
H525,Disorders of accommodation,2020-10-13
H526,Other disorders of refraction,2020-10-13
H527,"Disorder of refraction, unspecified",2020-10-13
H53,,2020-10-13
H530,Amblyopia ex anopsia,2020-10-13
H531,Subjective visual disturbances,2020-10-13
H532,Diplopia,2020-10-13
H533,Other disorders of binocular vision,2020-10-13
H534,Visual field defects,2020-10-13
H535,Colour vision deficiencies,2020-10-13
H536,Night blindness,2020-10-13
H538,Other visual disturbances,2020-10-13
H539,"Visual disturbance, unspecified",2020-10-13
H54,,2020-10-13
H540,"Blindness, binocular",2020-10-13
H541,"Severe visual impairment, binocular",2020-10-13
H542,"Moderate visual impairment, binocular",2020-10-13
H543,"Mild or no visual impairment, binocular",2020-10-13
H544,"Blindness, monocular",2020-10-13
H545,"Severe visual impairment, monocular",2020-10-13
H546,"Moderate visual impairment, monocular",2020-10-13
H549,Unspecified visual impairment (binocular),2020-10-13
H55,,2020-10-13
H57,,2020-10-13
H570,Anomalies of pupillary function,2020-10-13
H571,Ocular pain,2020-10-13
H578,Other specified disorders of eye and adnexa,2020-10-13
H579,"Disorder of eye and adnexa, unspecified",2020-10-13
H58,,2020-10-13
H580,Anomalies of pupillary function in diseases classified elsewhere,2020-10-13
H581,Visual disturbances in diseases classified elsewhere,2020-10-13
H588,Other specified disorders of eye and adnexa in diseases classified elsewhere,2020-10-13
H59,,2020-10-13
H590,Keratopathy (bullous aphakic) following cataract surgery,2020-10-13
H598,Other postprocedural disorders of eye and adnexa,2020-10-13
H599,"Postprocedural disorder of eye and adnexa, unspecified",2020-10-13
H60,,2020-10-13
H600,Abscess of external ear,2020-10-13
H601,Cellulitis of external ear,2020-10-13
H602,Malignant otitis externa,2020-10-13
H603,Other infective otitis externa,2020-10-13
H604,Cholesteatoma of external ear,2020-10-13
H605,"Acute otitis externa, noninfective",2020-10-13
H608,Other otitis externa,2020-10-13
H609,"Otitis externa, unspecified",2020-10-13
H61,,2020-10-13
H610,Perichondritis of external ear,2020-10-13
H611,Noninfective disorders of pinna,2020-10-13
H612,Impacted cerumen,2020-10-13
H613,Acquired stenosis of external ear canal,2020-10-13
H618,Other specified disorders of external ear,2020-10-13
H619,"Disorder of external ear, unspecified",2020-10-13
H62,,2020-10-13
H620,Otitis externa in bacterial diseases classified elsewhere,2020-10-13
H621,Otitis externa in viral diseases classified elsewhere,2020-10-13
H622,Otitis externa in mycoses,2020-10-13
H623,Otitis externa in other infectious and parasitic diseases classified elsewhere,2020-10-13
H624,Otitis externa in other diseases classified elsewhere,2020-10-13
H628,Other disorders of external ear in diseases classified elsewhere,2020-10-13
H65,,2020-10-13
H650,Acute serous otitis media,2020-10-13
H651,Other acute nonsuppurative otitis media,2020-10-13
H652,Chronic serous otitis media,2020-10-13
H653,Chronic mucoid otitis media,2020-10-13
H654,Other chronic nonsuppurative otitis media,2020-10-13
H659,"Nonsuppurative otitis media, unspecified",2020-10-13
H66,,2020-10-13
H660,Acute suppurative otitis media,2020-10-13
H661,Chronic tubotympanic suppurative otitis media,2020-10-13
H662,Chronic atticoantral suppurative otitis media,2020-10-13
H663,Other chronic suppurative otitis media,2020-10-13
H664,"Suppurative otitis media, unspecified",2020-10-13
H669,"Otitis media, unspecified",2020-10-13
H67,,2020-10-13
H670,Otitis media in bacterial diseases classified elsewhere,2020-10-13
H671,Otitis media in viral diseases classified elsewhere,2020-10-13
H678,Otitis media in other diseases classified elsewhere,2020-10-13
H68,,2020-10-13
H680,Eustachian salpingitis,2020-10-13
H681,Obstruction of Eustachian tube,2020-10-13
H69,,2020-10-13
H690,Patulous Eustachian tube,2020-10-13
H698,Other specified disorders of Eustachian tube,2020-10-13
H699,"Eustachian tube disorder, unspecified",2020-10-13
H70,,2020-10-13
H700,Acute mastoiditis,2020-10-13
H701,Chronic mastoiditis,2020-10-13
H702,Petrositis,2020-10-13
H708,Other mastoiditis and related conditions,2020-10-13
H709,"Mastoiditis, unspecified",2020-10-13
H71,,2020-10-13
H72,,2020-10-13
H720,Central perforation of tympanic membrane,2020-10-13
H721,Attic perforation of tympanic membrane,2020-10-13
H722,Other marginal perforations of tympanic membrane,2020-10-13
H728,Other perforations of tympanic membrane,2020-10-13
H729,"Perforation of tympanic membrane, unspecified",2020-10-13
H73,,2020-10-13
H730,Acute myringitis,2020-10-13
H731,Chronic myringitis,2020-10-13
H738,Other specified disorders of tympanic membrane,2020-10-13
H739,"Disorder of tympanic membrane, unspecified",2020-10-13
H74,,2020-10-13
H740,Tympanosclerosis,2020-10-13
H741,Adhesive middle ear disease,2020-10-13
H742,Discontinuity and dislocation of ear ossicles,2020-10-13
H743,Other acquired abnormalities of ear ossicles,2020-10-13
H744,Polyp of middle ear,2020-10-13
H748,Other specified disorders of middle ear and mastoid,2020-10-13
H749,"Disorder of middle ear and mastoid, unspecified",2020-10-13
H75,,2020-10-13
H750,Mastoiditis in infectious and parasitic diseases classified elsewhere,2020-10-13
H758,Other specified disorders of middle ear and mastoid in diseases classified elsewhere,2020-10-13
H80,,2020-10-13
H800,"Otosclerosis involving oval window, nonobliterative",2020-10-13
H801,"Otosclerosis involving oval window, obliterative",2020-10-13
H802,Cochlear otosclerosis,2020-10-13
H808,Other otosclerosis,2020-10-13
H809,"Otosclerosis, unspecified",2020-10-13
H81,,2020-10-13
H810,Ménière disease,2020-10-13
H811,Benign paroxysmal vertigo,2020-10-13
H812,Vestibular neuronitis,2020-10-13
H813,Other peripheral vertigo,2020-10-13
H814,Vertigo of central origin,2020-10-13
H818,Other disorders of vestibular function,2020-10-13
H819,"Disorder of vestibular function, unspecified",2020-10-13
H82,,2020-10-13
H83,,2020-10-13
H830,Labyrinthitis,2020-10-13
H831,Labyrinthine fistula,2020-10-13
H832,Labyrinthine dysfunction,2020-10-13
H833,Noise effects on inner ear,2020-10-13
H838,Other specified diseases of inner ear,2020-10-13
H839,"Disease of inner ear, unspecified",2020-10-13
H90,,2020-10-13
H900,"Conductive hearing loss, bilateral",2020-10-13
H901,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side",2020-10-13
H902,"Conductive hearing loss, unspecified",2020-10-13
H903,"Sensorineural hearing loss, bilateral",2020-10-13
H904,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",2020-10-13
H905,"Sensorineural hearing loss, unspecified",2020-10-13
H906,"Mixed conductive and sensorineural hearing loss, bilateral",2020-10-13
H907,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",2020-10-13
H908,"Mixed conductive and sensorineural hearing loss, unspecified",2020-10-13
H91,,2020-10-13
H910,Ototoxic hearing loss,2020-10-13
H911,Presbycusis,2020-10-13
H912,Sudden idiopathic hearing loss,2020-10-13
H913,"Deaf mutism, not elsewhere classified",2020-10-13
H918,Other specified hearing loss,2020-10-13
H919,"Hearing loss, unspecified",2020-10-13
H92,,2020-10-13
H920,Otalgia,2020-10-13
H921,Otorrhoea,2020-10-13
H922,Otorrhagia,2020-10-13
H93,,2020-10-13
H930,Degenerative and vascular disorders of ear,2020-10-13
H931,Tinnitus,2020-10-13
H932,Other abnormal auditory perceptions,2020-10-13
H933,Disorders of acoustic nerve,2020-10-13
H938,Other specified disorders of ear,2020-10-13
H939,"Disorder of ear, unspecified",2020-10-13
H94,,2020-10-13
H940,Acoustic neuritis in infectious and parasitic diseases classified elsewhere,2020-10-13
H948,Other specified disorders of ear in diseases classified elsewhere,2020-10-13
H95,,2020-10-13
H950,Recurrent cholesteatoma of postmastoidectomy cavity,2020-10-13
H951,Other disorders following mastoidectomy,2020-10-13
H958,Other postprocedural disorders of ear and mastoid process,2020-10-13
H959,"Postprocedural disorder of ear and mastoid process, unspecified",2020-10-13
I00,,2020-10-13
I01,,2020-10-13
I010,Acute rheumatic pericarditis,2020-10-13
I011,Acute rheumatic endocarditis,2020-10-13
I012,Acute rheumatic myocarditis,2020-10-13
I018,Other acute rheumatic heart disease,2020-10-13
I019,"Acute rheumatic heart disease, unspecified",2020-10-13
I02,,2020-10-13
I020,Rheumatic chorea with heart involvement,2020-10-13
I029,Rheumatic chorea without heart involvement,2020-10-13
I05,,2020-10-13
I050,Mitral stenosis,2020-10-13
I051,Rheumatic mitral insufficiency,2020-10-13
I052,Mitral stenosis with insufficiency,2020-10-13
I058,Other mitral valve diseases,2020-10-13
I059,"Mitral valve disease, unspecified",2020-10-13
I06,,2020-10-13
I060,Rheumatic aortic stenosis,2020-10-13
I061,Rheumatic aortic insufficiency,2020-10-13
I062,Rheumatic aortic stenosis with insufficiency,2020-10-13
I068,Other rheumatic aortic valve diseases,2020-10-13
I069,"Rheumatic aortic valve disease, unspecified",2020-10-13
I07,,2020-10-13
I070,Tricuspid stenosis,2020-10-13
I071,Tricuspid insufficiency,2020-10-13
I072,Tricuspid stenosis with insufficiency,2020-10-13
I078,Other tricuspid valve diseases,2020-10-13
I079,"Tricuspid valve disease, unspecified",2020-10-13
I08,,2020-10-13
I080,Disorders of both mitral and aortic valves,2020-10-13
I081,Disorders of both mitral and tricuspid valves,2020-10-13
I082,Disorders of both aortic and tricuspid valves,2020-10-13
I083,"Combined disorders of mitral, aortic and tricuspid valves",2020-10-13
I088,Other multiple valve diseases,2020-10-13
I089,"Multiple valve disease, unspecified",2020-10-13
I09,,2020-10-13
I090,Rheumatic myocarditis,2020-10-13
I091,"Rheumatic diseases of endocardium, valve unspecified",2020-10-13
I092,Chronic rheumatic pericarditis,2020-10-13
I098,Other specified rheumatic heart diseases,2020-10-13
I099,"Rheumatic heart disease, unspecified",2020-10-13
I10,,2020-10-13
I11,,2020-10-13
I110,Hypertensive heart disease with (congestive) heart failure,2020-10-13
I119,Hypertensive heart disease without (congestive) heart failure,2020-10-13
I12,,2020-10-13
I120,Hypertensive renal disease with renal failure,2020-10-13
I129,Hypertensive renal disease without renal failure,2020-10-13
I13,,2020-10-13
I130,Hypertensive heart and renal disease with (congestive) heart failure,2020-10-13
I131,Hypertensive heart and renal disease with renal failure,2020-10-13
I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,2020-10-13
I139,"Hypertensive heart and renal disease, unspecified",2020-10-13
I15,,2020-10-13
I150,Renovascular hypertension,2020-10-13
I151,Hypertension secondary to other renal disorders,2020-10-13
I152,Hypertension secondary to endocrine disorders,2020-10-13
I158,Other secondary hypertension,2020-10-13
I159,"Secondary hypertension, unspecified",2020-10-13
I20,,2020-10-13
I200,Unstable angina,2020-10-13
I201,Angina pectoris with documented spasm,2020-10-13
I208,Other forms of angina pectoris,2020-10-13
I209,"Angina pectoris, unspecified",2020-10-13
I21,,2020-10-13
I210,Acute transmural myocardial infarction of anterior wall,2020-10-13
I211,Acute transmural myocardial infarction of inferior wall,2020-10-13
I212,Acute transmural myocardial infarction of other sites,2020-10-13
I213,Acute transmural myocardial infarction of unspecified site,2020-10-13
I214,Acute subendocardial myocardial infarction,2020-10-13
I219,"Acute myocardial infarction, unspecified",2020-10-13
I22,,2020-10-13
I220,Subsequent myocardial infarction of anterior wall,2020-10-13
I221,Subsequent myocardial infarction of inferior wall,2020-10-13
I228,Subsequent myocardial infarction of other sites,2020-10-13
I229,Subsequent myocardial infarction of unspecified site,2020-10-13
I23,,2020-10-13
I230,Haemopericardium as current complication following acute myocardial infarction,2020-10-13
I231,Atrial septal defect as current complication following acute myocardial infarction,2020-10-13
I232,Ventricular septal defect as current complication following acute myocardial infarction,2020-10-13
I233,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,2020-10-13
I234,Rupture of chordae tendineae as current complication following acute myocardial infarction,2020-10-13
I235,Rupture of papillary muscle as current complication following acute myocardial infarction,2020-10-13
I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",2020-10-13
I238,Other current complications following acute myocardial infarction,2020-10-13
I24,,2020-10-13
I240,Coronary thrombosis not resulting in myocardial infarction,2020-10-13
I241,Dressler syndrome,2020-10-13
I248,Other forms of acute ischaemic heart disease,2020-10-13
I249,"Acute ischaemic heart disease, unspecified",2020-10-13
I25,,2020-10-13
I250,"Atherosclerotic cardiovascular disease, so described",2020-10-13
I251,Atherosclerotic heart disease,2020-10-13
I252,Old myocardial infarction,2020-10-13
I253,Aneurysm of heart,2020-10-13
I254,Coronary artery aneurysm and dissection,2020-10-13
I255,Ischaemic cardiomyopathy,2020-10-13
I256,Silent myocardial ischaemia,2020-10-13
I258,Other forms of chronic ischaemic heart disease,2020-10-13
I259,"Chronic ischaemic heart disease, unspecified",2020-10-13
I26,,2020-10-13
I260,Pulmonary embolism with mention of acute cor pulmonale,2020-10-13
I269,Pulmonary embolism without mention of acute cor pulmonale,2020-10-13
I27,,2020-10-13
I270,Primary pulmonary hypertension,2020-10-13
I271,Kyphoscoliotic heart disease,2020-10-13
I272,Other secondary pulmonary hypertension,2020-10-13
I278,Other specified pulmonary heart diseases,2020-10-13
I279,"Pulmonary heart disease, unspecified",2020-10-13
I28,,2020-10-13
I280,Arteriovenous fistula of pulmonary vessels,2020-10-13
I281,Aneurysm of pulmonary artery,2020-10-13
I288,Other specified diseases of pulmonary vessels,2020-10-13
I289,"Disease of pulmonary vessels, unspecified",2020-10-13
I30,,2020-10-13
I300,Acute nonspecific idiopathic pericarditis,2020-10-13
I301,Infective pericarditis,2020-10-13
I308,Other forms of acute pericarditis,2020-10-13
I309,"Acute pericarditis, unspecified",2020-10-13
I31,,2020-10-13
I310,Chronic adhesive pericarditis,2020-10-13
I311,Chronic constrictive pericarditis,2020-10-13
I312,"Haemopericardium, not elsewhere classified",2020-10-13
I313,Pericardial effusion (noninflammatory),2020-10-13
I318,Other specified diseases of pericardium,2020-10-13
I319,"Disease of pericardium, unspecified",2020-10-13
I32,,2020-10-13
I320,Pericarditis in bacterial diseases classified elsewhere,2020-10-13
I321,Pericarditis in other infectious and parasitic diseases classified elsewhere,2020-10-13
I328,Pericarditis in other diseases classified elsewhere,2020-10-13
I33,,2020-10-13
I330,Acute and subacute infective endocarditis,2020-10-13
I339,"Acute endocarditis, unspecified",2020-10-13
I34,,2020-10-13
I340,Mitral (valve) insufficiency,2020-10-13
I341,Mitral (valve) prolapse,2020-10-13
I342,Nonrheumatic mitral (valve) stenosis,2020-10-13
I348,Other nonrheumatic mitral valve disorders,2020-10-13
I349,"Nonrheumatic mitral valve disorder, unspecified",2020-10-13
I35,,2020-10-13
I350,Aortic (valve) stenosis,2020-10-13
I351,Aortic (valve) insufficiency,2020-10-13
I352,Aortic (valve) stenosis with insufficiency,2020-10-13
I358,Other aortic valve disorders,2020-10-13
I359,"Aortic valve disorder, unspecified",2020-10-13
I36,,2020-10-13
I360,Nonrheumatic tricuspid (valve) stenosis,2020-10-13
I361,Nonrheumatic tricuspid (valve) insufficiency,2020-10-13
I362,Nonrheumatic tricuspid (valve) stenosis with insufficiency,2020-10-13
I368,Other nonrheumatic tricuspid valve disorders,2020-10-13
I369,"Nonrheumatic tricuspid valve disorder, unspecified",2020-10-13
I37,,2020-10-13
I370,Pulmonary valve stenosis,2020-10-13
I371,Pulmonary valve insufficiency,2020-10-13
I372,Pulmonary valve stenosis with insufficiency,2020-10-13
I378,Other pulmonary valve disorders,2020-10-13
I379,"Pulmonary valve disorder, unspecified",2020-10-13
I38,,2020-10-13
I39,,2020-10-13
I390,Mitral valve disorders in diseases classified elsewhere,2020-10-13
I391,Aortic valve disorders in diseases classified elsewhere,2020-10-13
I392,Tricuspid valve disorders in diseases classified elsewhere,2020-10-13
I393,Pulmonary valve disorders in diseases classified elsewhere,2020-10-13
I394,Multiple valve disorders in diseases classified elsewhere,2020-10-13
I398,"Endocarditis, valve unspecified, in diseases classified elsewhere",2020-10-13
I40,,2020-10-13
I400,Infective myocarditis,2020-10-13
I401,Isolated myocarditis,2020-10-13
I408,Other acute myocarditis,2020-10-13
I409,"Acute myocarditis, unspecified",2020-10-13
I41,,2020-10-13
I410,Myocarditis in bacterial diseases classified elsewhere,2020-10-13
I411,Myocarditis in viral diseases classified elsewhere,2020-10-13
I412,Myocarditis in other infectious and parasitic diseases classified elsewhere,2020-10-13
I418,Myocarditis in other diseases classified elsewhere,2020-10-13
I42,,2020-10-13
I420,Dilated cardiomyopathy,2020-10-13
I421,Obstructive hypertrophic cardiomyopathy,2020-10-13
I422,Other hypertrophic cardiomyopathy,2020-10-13
I423,Endomyocardial (eosinophilic) disease,2020-10-13
I424,Endocardial fibroelastosis,2020-10-13
I425,Other restrictive cardiomyopathy,2020-10-13
I426,Alcoholic cardiomyopathy,2020-10-13
I427,Cardiomyopathy due to drugs and other external agents,2020-10-13
I428,Other cardiomyopathies,2020-10-13
I429,"Cardiomyopathy, unspecified",2020-10-13
I43,,2020-10-13
I430,Cardiomyopathy in infectious and parasitic diseases classified elsewhere,2020-10-13
I431,Cardiomyopathy in metabolic diseases,2020-10-13
I432,Cardiomyopathy in nutritional diseases,2020-10-13
I438,Cardiomyopathy in other diseases classified elsewhere,2020-10-13
I44,,2020-10-13
I440,"Atrioventricular block, first degree",2020-10-13
I441,"Atrioventricular block, second degree",2020-10-13
I442,"Atrioventricular block, complete",2020-10-13
I443,Other and unspecified atrioventricular block,2020-10-13
I444,Left anterior fascicular block,2020-10-13
I445,Left posterior fascicular block,2020-10-13
I446,Other and unspecified fascicular block,2020-10-13
I447,"Left bundle-branch block, unspecified",2020-10-13
I45,,2020-10-13
I450,Right fascicular block,2020-10-13
I451,Other and unspecified right bundle-branch block,2020-10-13
I452,Bifascicular block,2020-10-13
I453,Trifascicular block,2020-10-13
I454,Nonspecific intraventricular block,2020-10-13
I455,Other specified heart block,2020-10-13
I456,Pre-excitation syndrome,2020-10-13
I458,Other specified conduction disorders,2020-10-13
I459,"Conduction disorder, unspecified",2020-10-13
I46,,2020-10-13
I460,Cardiac arrest with successful resuscitation,2020-10-13
I461,"Sudden cardiac death, so described",2020-10-13
I469,"Cardiac arrest, unspecified",2020-10-13
I47,,2020-10-13
I470,Re-entry ventricular arrhythmia,2020-10-13
I471,Supraventricular tachycardia,2020-10-13
I472,Ventricular tachycardia,2020-10-13
I479,"Paroxysmal tachycardia, unspecified",2020-10-13
I48,,2020-10-13
I480,Paroxysmal atrial fibrillation,2020-10-13
I481,Persistent atrial fibrillation,2020-10-13
I482,Chronic atrial fibrillation,2020-10-13
I483,Typical atrial flutter,2020-10-13
I484,Atypical atrial flutter,2020-10-13
I489,"Atrial fibrillation and atrial flutter, unspecified",2020-10-13
I49,,2020-10-13
I490,Ventricular fibrillation and flutter,2020-10-13
I491,Atrial premature depolarization,2020-10-13
I492,Junctional premature depolarization,2020-10-13
I493,Ventricular premature depolarization,2020-10-13
I494,Other and unspecified premature depolarization,2020-10-13
I495,Sick sinus syndrome,2020-10-13
I498,Other specified cardiac arrhythmias,2020-10-13
I499,"Cardiac arrhythmia, unspecified",2020-10-13
I50,,2020-10-13
I500,Congestive heart failure,2020-10-13
I501,Left ventricular failure,2020-10-13
I509,"Heart failure, unspecified",2020-10-13
I51,,2020-10-13
I510,"Cardiac septal defect, acquired",2020-10-13
I511,"Rupture of chordae tendineae, not elsewhere classified",2020-10-13
I512,"Rupture of papillary muscle, not elsewhere classified",2020-10-13
I513,"Intracardiac thrombosis, not elsewhere classified",2020-10-13
I514,"Myocarditis, unspecified",2020-10-13
I515,Myocardial degeneration,2020-10-13
I516,"Cardiovascular disease, unspecified",2020-10-13
I517,Cardiomegaly,2020-10-13
I518,Other ill-defined heart diseases,2020-10-13
I519,"Heart disease, unspecified",2020-10-13
I52,,2020-10-13
I520,Other heart disorders in bacterial diseases classified elsewhere,2020-10-13
I521,Other heart disorders in other infectious and parasitic diseases classified elsewhere,2020-10-13
I528,Other heart disorders in other diseases classified elsewhere,2020-10-13
I60,,2020-10-13
I600,Subarachnoid haemorrhage from carotid siphon and bifurcation,2020-10-13
I601,Subarachnoid haemorrhage from middle cerebral artery,2020-10-13
I602,Subarachnoid haemorrhage from anterior communicating artery,2020-10-13
I603,Subarachnoid haemorrhage from posterior communicating artery,2020-10-13
I604,Subarachnoid haemorrhage from basilar artery,2020-10-13
I605,Subarachnoid haemorrhage from vertebral artery,2020-10-13
I606,Subarachnoid haemorrhage from other intracranial arteries,2020-10-13
I607,"Subarachnoid haemorrhage from intracranial artery, unspecified",2020-10-13
I608,Other subarachnoid haemorrhage,2020-10-13
I609,"Subarachnoid haemorrhage, unspecified",2020-10-13
I61,,2020-10-13
I610,"Intracerebral haemorrhage in hemisphere, subcortical",2020-10-13
I611,"Intracerebral haemorrhage in hemisphere, cortical",2020-10-13
I612,"Intracerebral haemorrhage in hemisphere, unspecified",2020-10-13
I613,Intracerebral haemorrhage in brain stem,2020-10-13
I614,Intracerebral haemorrhage in cerebellum,2020-10-13
I615,"Intracerebral haemorrhage, intraventricular",2020-10-13
I616,"Intracerebral haemorrhage, multiple localized",2020-10-13
I618,Other intracerebral haemorrhage,2020-10-13
I619,"Intracerebral haemorrhage, unspecified",2020-10-13
I62,,2020-10-13
I620,Nontraumatic subdural haemorrhage,2020-10-13
I621,Nontraumatic extradural haemorrhage,2020-10-13
I629,"Intracranial haemorrhage (nontraumatic), unspecified",2020-10-13
I63,,2020-10-13
I630,Cerebral infarction due to thrombosis of precerebral arteries,2020-10-13
I631,Cerebral infarction due to embolism of precerebral arteries,2020-10-13
I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,2020-10-13
I633,Cerebral infarction due to thrombosis of cerebral arteries,2020-10-13
I634,Cerebral infarction due to embolism of cerebral arteries,2020-10-13
I635,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,2020-10-13
I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",2020-10-13
I638,Other cerebral infarction,2020-10-13
I639,"Cerebral infarction, unspecified",2020-10-13
I64,,2020-10-13
I65,,2020-10-13
I650,Occlusion and stenosis of vertebral artery,2020-10-13
I651,Occlusion and stenosis of basilar artery,2020-10-13
I652,Occlusion and stenosis of carotid artery,2020-10-13
I653,Occlusion and stenosis of multiple and bilateral precerebral arteries,2020-10-13
I658,Occlusion and stenosis of other precerebral artery,2020-10-13
I659,Occlusion and stenosis of unspecified precerebral artery,2020-10-13
I66,,2020-10-13
I660,Occlusion and stenosis of middle cerebral artery,2020-10-13
I661,Occlusion and stenosis of anterior cerebral artery,2020-10-13
I662,Occlusion and stenosis of posterior cerebral artery,2020-10-13
I663,Occlusion and stenosis of cerebellar arteries,2020-10-13
